id,full_name,email,course,enrollment_date,gpa,status,created_at
37,Student 0037,student0037@university.edu,CS101,2025-10-21,2.93,active,2026-03-12T17:41:32.307679Z
38,Student 0038,student0038@university.edu,PHYS301,2025-10-21,2.73,active,2026-03-16T17:41:32.307679Z
39,Student 0039,student0039@university.edu,BIO110,2025-09-15,1.76,inactive,2026-03-19T17:41:32.307679Z
40,Student 0040,student0040@university.edu,MATH201,2025-07-10,2.69,active,2026-03-15T17:41:32.307679Z
41,Student 0041,student0041@university.edu,CS101,2025-10-15,2.6,active,2026-03-12T17:41:32.307679Z
42,Student 0042,student0042@university.edu,CS101,2025-10-24,2.37,active,2026-03-17T17:41:32.307679Z
43,Student 0043,student0043@university.edu,CS101,2025-09-06,3.36,active,2026-03-14T17:41:32.307679Z
44,Student 0044,student0044@university.edu,PHYS301,2025-07-13,3.93,active,2026-03-13T17:41:32.307679Z
45,Student 0045,student0045@university.edu,BIO110,2025-06-21,3.95,active,2026-03-12T17:41:32.307679Z
46,Student 0046,student0046@university.edu,CS101,2025-09-09,3.67,active,2026-03-19T17:41:32.307679Z
47,Student 0047,student0047@university.edu,BIO110,2025-09-15,4.0,active,2026-03-12T17:41:32.307679Z
48,Student 0048,student0048@university.edu,BIO110,2025-09-02,1.7,inactive,2026-03-19T17:41:32.307679Z
49,Student 0049,student0049@university.edu,PHYS301,2025-07-23,2.57,active,2026-03-19T17:41:32.307679Z
50,Student 0050,student0050@university.edu,MATH201,2025-09-21,1.78,active,2026-03-12T17:41:32.307679Z
51,Student 0051,student0051@university.edu,ENG202,2025-06-23,3.64,active,2026-03-19T17:41:32.307679Z
52,Student 0052,student0052@university.edu,ENG202,2025-06-26,3.26,active,2026-03-13T17:41:32.307679Z
53,Student 0053,student0053@university.edu,MATH201,2025-10-22,2.01,active,2026-03-13T17:41:32.307679Z
54,Student 0054,student0054@university.edu,ENG202,2025-09-06,2.33,active,2026-03-12T17:41:32.307679Z
55,Student 0055,student0055@university.edu,ENG202,2025-10-19,2.07,active,2026-03-16T17:41:32.307679Z
56,Student 0056,student0056@university.edu,MATH201,2025-05-21,3.51,active,2026-03-15T17:41:32.307679Z
57,Student 0057,student0057@university.edu,PHYS301,2025-07-30,3.78,active,2026-03-13T17:41:32.307679Z
58,Student 0058,student0058@university.edu,CS101,2025-07-14,3.84,active,2026-03-13T17:41:32.307679Z
59,Student 0059,student0059@university.edu,CS101,2025-06-24,3.14,inactive,2026-03-13T17:41:32.307679Z
60,Student 0060,student0060@university.edu,MATH201,2025-08-06,3.61,active,2026-03-19T17:41:32.307679Z
61,Student 0061,student0061@university.edu,ENG202,2025-05-12,2.26,active,2026-03-12T17:41:32.307679Z
62,Student 0062,student0062@university.edu,ENG202,2025-08-24,4.0,inactive,2026-03-13T17:41:32.307679Z
63,Student 0063,student0063@university.edu,MATH201,2025-09-02,3.28,active,2026-03-16T17:41:32.307679Z
64,Student 0064,student0064@university.edu,PHYS301,2025-06-07,3.25,active,2026-03-17T17:41:32.307679Z
65,Student 0065,student0065@university.edu,MATH201,2025-05-17,2.58,active,2026-03-12T17:41:32.307679Z
66,Student 0066,student0066@university.edu,CS101,2025-05-30,2.53,active,2026-03-16T17:41:32.307679Z
67,Student 0067,student0067@university.edu,CS101,2025-11-08,2.79,dropout,2026-03-14T17:41:32.307679Z
68,Student 0068,student0068@university.edu,BIO110,2025-06-20,3.37,active,2026-03-12T17:41:32.307679Z
69,Student 0069,student0069@university.edu,CS101,2025-10-20,4.0,active,2026-03-12T17:41:32.307679Z
70,Student 0070,student0070@university.edu,PHYS301,2025-06-12,2.59,active,2026-03-18T17:41:32.307679Z
71,Student 0071,student0071@university.edu,MATH201,2025-10-29,2.39,active,2026-03-12T17:41:32.307679Z
72,Student 0072,student0072@university.edu,PHYS301,2025-09-16,4.0,active,2026-03-13T17:41:32.307679Z
73,Student 0073,student0073@university.edu,PHYS301,2025-06-18,3.61,active,2026-03-14T17:41:32.307679Z
74,Student 0074,student0074@university.edu,MATH201,2025-09-28,2.46,dropout,2026-03-14T17:41:32.307679Z
75,Student 0075,student0075@university.edu,BIO110,2025-11-02,3.78,active,2026-03-18T17:41:32.307679Z
76,Student 0076,student0076@university.edu,MATH201,2025-09-01,4.0,active,2026-03-13T17:41:32.307679Z
77,Student 0077,student0077@university.edu,BIO110,2025-10-30,3.36,active,2026-03-19T17:41:32.307679Z
78,Student 0078,student0078@university.edu,PHYS301,2025-08-22,2.56,active,2026-03-15T17:41:32.307679Z
79,Student 0079,student0079@university.edu,MATH201,2025-11-02,2.57,active,2026-03-13T17:41:32.307679Z
80,Student 0080,student0080@university.edu,PHYS301,2025-08-11,2.32,active,2026-03-18T17:41:32.307679Z
81,Student 0081,student0081@university.edu,ENG202,2025-08-16,3.37,dropout,2026-03-14T17:41:32.307679Z
82,Student 0082,student0082@university.edu,ENG202,2025-09-02,2.85,active,2026-03-18T17:41:32.307679Z
83,Student 0083,student0083@university.edu,PHYS301,2025-08-20,1.5,active,2026-03-15T17:41:32.307679Z
84,Student 0084,student0084@university.edu,PHYS301,2025-10-28,3.9,active,2026-03-12T17:41:32.307679Z
85,Student 0085,student0085@university.edu,ENG202,2025-06-24,2.27,active,2026-03-15T17:41:32.307679Z
86,Student 0086,student0086@university.edu,PHYS301,2025-07-21,1.5,active,2026-03-17T17:41:32.307679Z
87,Student 0087,student0087@university.edu,ENG202,2025-08-20,2.79,inactive,2026-03-16T17:41:32.307679Z
88,Student 0088,student0088@university.edu,BIO110,2025-08-17,2.65,active,2026-03-16T17:41:32.307679Z
89,Student 0089,student0089@university.edu,ENG202,2025-10-07,3.42,active,2026-03-14T17:41:32.307679Z
90,Student 0090,student0090@university.edu,ENG202,2025-06-16,4.0,active,2026-03-12T17:41:32.307679Z
91,Student 0091,student0091@university.edu,PHYS301,2025-08-27,3.35,active,2026-03-17T17:41:32.307679Z
92,Student 0092,student0092@university.edu,BIO110,2025-07-18,4.0,active,2026-03-15T17:41:32.307679Z
93,Student 0093,student0093@university.edu,ENG202,2025-07-10,3.55,active,2026-03-13T17:41:32.307679Z
94,Student 0094,student0094@university.edu,PHYS301,2025-06-30,1.5,active,2026-03-17T17:41:32.307679Z
95,Student 0095,student0095@university.edu,CS101,2025-09-09,2.73,active,2026-03-12T17:41:32.307679Z
96,Student 0096,student0096@university.edu,CS101,2025-09-07,2.5,dropout,2026-03-13T17:41:32.307679Z
97,Student 0097,student0097@university.edu,BIO110,2025-07-25,3.79,active,2026-03-18T17:41:32.307679Z
98,Student 0098,student0098@university.edu,BIO110,2025-07-29,2.31,active,2026-03-12T17:41:32.307679Z
99,Student 0099,student0099@university.edu,CS101,2025-07-23,3.28,active,2026-03-19T17:41:32.307679Z
100,Student 0100,student0100@university.edu,CS101,2025-06-19,4.0,active,2026-03-13T17:41:32.307679Z
101,Student 0101,student0101@university.edu,BIO110,2025-10-05,3.38,dropout,2026-03-17T17:41:32.307679Z
102,Student 0102,student0102@university.edu,BIO110,2025-06-05,1.87,active,2026-03-18T17:41:32.307679Z
103,Student 0103,student0103@university.edu,ENG202,2025-07-17,4.0,active,2026-03-16T17:41:32.307679Z
104,Student 0104,student0104@university.edu,MATH201,2025-05-29,2.21,active,2026-03-19T17:41:32.307679Z
105,Student 0105,student0105@university.edu,MATH201,2025-08-30,1.82,active,2026-03-17T17:41:32.307679Z
106,Student 0106,student0106@university.edu,PHYS301,2025-06-23,3.47,active,2026-03-14T17:41:32.307679Z
107,Student 0107,student0107@university.edu,MATH201,2025-08-02,2.57,active,2026-03-18T17:41:32.307679Z
108,Student 0108,student0108@university.edu,PHYS301,2025-06-23,1.82,active,2026-03-12T17:41:32.307679Z
109,Student 0109,student0109@university.edu,MATH201,2025-07-24,1.95,inactive,2026-03-12T17:41:32.307679Z
110,Student 0110,student0110@university.edu,ENG202,2025-08-03,3.88,active,2026-03-17T17:41:32.307679Z
111,Student 0111,student0111@university.edu,PHYS301,2025-08-01,4.0,active,2026-03-15T17:41:32.307679Z
112,Student 0112,student0112@university.edu,BIO110,2025-09-13,1.5,active,2026-03-19T17:41:32.307679Z
113,Student 0113,student0113@university.edu,CS101,2025-08-01,2.38,active,2026-03-14T17:41:32.307679Z
114,Student 0114,student0114@university.edu,BIO110,2025-10-07,4.0,dropout,2026-03-12T17:41:32.307679Z
115,Student 0115,student0115@university.edu,BIO110,2025-06-10,2.83,active,2026-03-14T17:41:32.307679Z
116,Student 0116,student0116@university.edu,BIO110,2025-09-23,2.93,active,2026-03-18T17:41:32.307679Z
117,Student 0117,student0117@university.edu,PHYS301,2025-09-15,2.3,inactive,2026-03-16T17:41:32.307679Z
118,Student 0118,student0118@university.edu,BIO110,2025-09-05,3.2,active,2026-03-19T17:41:32.307679Z
119,Student 0119,student0119@university.edu,CS101,2025-06-23,4.0,active,2026-03-13T17:41:32.307679Z
120,Student 0120,student0120@university.edu,CS101,2025-11-01,3.63,inactive,2026-03-15T17:41:32.307679Z
121,Student 0121,student0121@university.edu,CS101,2025-06-02,3.24,active,2026-03-15T17:41:32.307679Z
122,Student 0122,student0122@university.edu,BIO110,2025-05-13,3.34,active,2026-03-17T17:41:32.307679Z
123,Student 0123,student0123@university.edu,MATH201,2025-06-06,1.96,active,2026-03-14T17:41:32.307679Z
124,Student 0124,student0124@university.edu,PHYS301,2025-10-12,2.17,active,2026-03-16T17:41:32.307679Z
125,Student 0125,student0125@university.edu,ENG202,2025-05-19,3.65,inactive,2026-03-15T17:41:32.307679Z
126,Student 0126,student0126@university.edu,CS101,2025-06-10,2.58,active,2026-03-15T17:41:32.307679Z
127,Student 0127,student0127@university.edu,CS101,2025-05-14,3.22,active,2026-03-13T17:41:32.307679Z
128,Student 0128,student0128@university.edu,ENG202,2025-10-29,1.5,active,2026-03-18T17:41:32.307679Z
129,Student 0129,student0129@university.edu,PHYS301,2025-10-22,2.27,active,2026-03-19T17:41:32.307679Z
130,Student 0130,student0130@university.edu,CS101,2025-07-21,2.97,dropout,2026-03-19T17:41:32.307679Z
131,Student 0131,student0131@university.edu,MATH201,2025-07-20,3.43,active,2026-03-19T17:41:32.307679Z
132,Student 0132,student0132@university.edu,BIO110,2025-07-20,3.87,active,2026-03-16T17:41:32.307679Z
133,Student 0133,student0133@university.edu,PHYS301,2025-09-07,3.17,inactive,2026-03-15T17:41:32.307679Z
134,Student 0134,student0134@university.edu,BIO110,2025-06-16,2.7,active,2026-03-18T17:41:32.307679Z
135,Student 0135,student0135@university.edu,PHYS301,2025-11-01,2.29,active,2026-03-17T17:41:32.307679Z
136,Student 0136,student0136@university.edu,PHYS301,2025-08-13,3.03,active,2026-03-16T17:41:32.307679Z
137,Student 0137,student0137@university.edu,ENG202,2025-11-06,2.48,active,2026-03-18T17:41:32.307679Z
138,Student 0138,student0138@university.edu,BIO110,2025-06-19,2.95,active,2026-03-19T17:41:32.307679Z
139,Student 0139,student0139@university.edu,BIO110,2025-07-17,3.09,active,2026-03-15T17:41:32.307679Z
140,Student 0140,student0140@university.edu,PHYS301,2025-05-23,2.66,active,2026-03-19T17:41:32.307679Z
141,Student 0141,student0141@university.edu,ENG202,2025-06-26,1.5,active,2026-03-17T17:41:32.307679Z
142,Student 0142,student0142@university.edu,BIO110,2025-08-31,4.0,active,2026-03-15T17:41:32.307679Z
143,Student 0143,student0143@university.edu,CS101,2025-05-08,3.14,active,2026-03-14T17:41:32.307679Z
144,Student 0144,student0144@university.edu,MATH201,2025-09-14,3.38,active,2026-03-16T17:41:32.307679Z
145,Student 0145,student0145@university.edu,ENG202,2025-06-27,1.5,active,2026-03-16T17:41:32.307679Z
146,Student 0146,student0146@university.edu,MATH201,2025-08-08,1.72,active,2026-03-12T17:41:32.307679Z
147,Student 0147,student0147@university.edu,ENG202,2025-10-07,2.67,active,2026-03-14T17:41:32.307679Z
148,Student 0148,student0148@university.edu,BIO110,2025-10-13,4.0,inactive,2026-03-16T17:41:32.307679Z
149,Student 0149,student0149@university.edu,BIO110,2025-07-09,2.52,active,2026-03-19T17:41:32.307679Z
150,Student 0150,student0150@university.edu,CS101,2025-10-23,3.19,active,2026-03-13T17:41:32.307679Z
151,Student 0151,student0151@university.edu,ENG202,2025-05-31,2.82,active,2026-03-16T17:41:32.307679Z
152,Student 0152,student0152@university.edu,CS101,2025-09-06,2.58,active,2026-03-18T17:41:32.307679Z
153,Student 0153,student0153@university.edu,ENG202,2025-06-09,3.14,active,2026-03-19T17:41:32.307679Z
154,Student 0154,student0154@university.edu,BIO110,2025-08-24,2.45,inactive,2026-03-18T17:41:32.307679Z
155,Student 0155,student0155@university.edu,PHYS301,2025-06-16,2.2,active,2026-03-15T17:41:32.307679Z
156,Student 0156,student0156@university.edu,MATH201,2025-09-02,2.24,active,2026-03-14T17:41:32.307679Z
157,Student 0157,student0157@university.edu,MATH201,2025-09-25,2.56,active,2026-03-19T17:41:32.307679Z
158,Student 0158,student0158@university.edu,PHYS301,2025-10-31,2.85,active,2026-03-16T17:41:32.307679Z
159,Student 0159,student0159@university.edu,BIO110,2025-10-21,2.3,active,2026-03-15T17:41:32.307679Z
160,Student 0160,student0160@university.edu,BIO110,2025-10-10,1.5,active,2026-03-14T17:41:32.307679Z
161,Student 0161,student0161@university.edu,PHYS301,2025-10-03,3.43,active,2026-03-16T17:41:32.307679Z
162,Student 0162,student0162@university.edu,BIO110,2025-10-08,3.21,active,2026-03-16T17:41:32.307679Z
163,Student 0163,student0163@university.edu,BIO110,2025-08-31,2.07,active,2026-03-12T17:41:32.307679Z
164,Student 0164,student0164@university.edu,BIO110,2025-08-18,3.0,active,2026-03-12T17:41:32.307679Z
165,Student 0165,student0165@university.edu,CS101,2025-09-11,4.0,active,2026-03-12T17:41:32.307679Z
166,Student 0166,student0166@university.edu,PHYS301,2025-06-14,2.64,active,2026-03-14T17:41:32.307679Z
167,Student 0167,student0167@university.edu,BIO110,2025-06-29,1.97,active,2026-03-18T17:41:32.307679Z
168,Student 0168,student0168@university.edu,BIO110,2025-10-16,1.55,active,2026-03-18T17:41:32.307679Z
169,Student 0169,student0169@university.edu,PHYS301,2025-08-18,2.24,active,2026-03-19T17:41:32.307679Z
170,Student 0170,student0170@university.edu,PHYS301,2025-05-23,1.61,inactive,2026-03-12T17:41:32.307679Z
171,Student 0171,student0171@university.edu,BIO110,2025-10-17,2.72,dropout,2026-03-18T17:41:32.307679Z
172,Student 0172,student0172@university.edu,ENG202,2025-11-08,3.65,active,2026-03-19T17:41:32.307679Z
173,Student 0173,student0173@university.edu,BIO110,2025-10-26,3.29,active,2026-03-19T17:41:32.307679Z
174,Student 0174,student0174@university.edu,CS101,2025-09-17,3.7,active,2026-03-14T17:41:32.307679Z
175,Student 0175,student0175@university.edu,PHYS301,2025-07-19,3.67,active,2026-03-15T17:41:32.307679Z
176,Student 0176,student0176@university.edu,MATH201,2025-08-21,2.37,active,2026-03-18T17:41:32.307679Z
177,Student 0177,student0177@university.edu,CS101,2025-09-12,4.0,active,2026-03-13T17:41:32.307679Z
178,Student 0178,student0178@university.edu,MATH201,2025-07-04,2.91,inactive,2026-03-16T17:41:32.307679Z
179,Student 0179,student0179@university.edu,ENG202,2025-05-12,2.78,dropout,2026-03-15T17:41:32.307679Z
180,Student 0180,student0180@university.edu,BIO110,2025-06-20,4.0,active,2026-03-15T17:41:32.307679Z
181,Student 0181,student0181@university.edu,ENG202,2025-07-01,2.99,active,2026-03-18T17:41:32.307679Z
182,Student 0182,student0182@university.edu,PHYS301,2025-07-02,2.57,active,2026-03-12T17:41:32.307679Z
183,Student 0183,student0183@university.edu,PHYS301,2025-05-07,2.68,dropout,2026-03-19T17:41:32.307679Z
184,Student 0184,student0184@university.edu,MATH201,2025-07-17,4.0,active,2026-03-17T17:41:32.307679Z
185,Student 0185,student0185@university.edu,PHYS301,2025-06-20,3.06,inactive,2026-03-15T17:41:32.307679Z
186,Student 0186,student0186@university.edu,MATH201,2025-06-15,2.22,active,2026-03-18T17:41:32.307679Z
187,Student 0187,student0187@university.edu,CS101,2025-08-19,2.96,active,2026-03-18T17:41:32.307679Z
188,Student 0188,student0188@university.edu,MATH201,2025-07-05,1.75,dropout,2026-03-14T17:41:32.307679Z
189,Student 0189,student0189@university.edu,ENG202,2025-06-10,2.82,active,2026-03-13T17:41:32.307679Z
190,Student 0190,student0190@university.edu,ENG202,2025-07-15,3.32,active,2026-03-14T17:41:32.307679Z
191,Student 0191,student0191@university.edu,BIO110,2025-05-25,3.31,active,2026-03-16T17:41:32.307679Z
192,Student 0192,student0192@university.edu,PHYS301,2025-06-02,2.94,active,2026-03-13T17:41:32.307679Z
193,Student 0193,student0193@university.edu,PHYS301,2025-05-20,3.5,active,2026-03-19T17:41:32.307679Z
194,Student 0194,student0194@university.edu,ENG202,2025-10-30,2.4,active,2026-03-15T17:41:32.307679Z
195,Student 0195,student0195@university.edu,PHYS301,2025-09-11,2.98,active,2026-03-13T17:41:32.307679Z
196,Student 0196,student0196@university.edu,BIO110,2025-09-27,2.15,active,2026-03-12T17:41:32.307679Z
197,Student 0197,student0197@university.edu,CS101,2025-08-17,3.19,active,2026-03-14T17:41:32.307679Z
198,Student 0198,student0198@university.edu,MATH201,2025-06-26,2.36,active,2026-03-14T17:41:32.307679Z
199,Student 0199,student0199@university.edu,MATH201,2025-09-25,4.0,active,2026-03-15T17:41:32.307679Z
200,Student 0200,student0200@university.edu,BIO110,2025-06-12,3.77,active,2026-03-19T17:41:32.307679Z
201,Student 0201,student0201@university.edu,PHYS301,2025-07-14,3.0,active,2026-03-16T17:41:32.307679Z
202,Student 0202,student0202@university.edu,ENG202,2025-09-29,3.11,active,2026-03-17T17:41:32.307679Z
203,Student 0203,student0203@university.edu,ENG202,2025-08-24,2.46,active,2026-03-16T17:41:32.307679Z
204,Student 0204,student0204@university.edu,MATH201,2025-08-02,2.36,inactive,2026-03-13T17:41:32.307679Z
205,Student 0205,student0205@university.edu,MATH201,2025-08-03,2.06,dropout,2026-03-16T17:41:32.307679Z
206,Student 0206,student0206@university.edu,CS101,2025-05-24,2.54,active,2026-03-12T17:41:32.307679Z
207,Student 0207,student0207@university.edu,ENG202,2025-05-17,3.38,inactive,2026-03-19T17:41:32.307679Z
208,Student 0208,student0208@university.edu,PHYS301,2025-09-11,1.5,active,2026-03-17T17:41:32.307679Z
209,Student 0209,student0209@university.edu,MATH201,2025-05-30,3.22,active,2026-03-14T17:41:32.307679Z
210,Student 0210,student0210@university.edu,CS101,2025-06-01,3.57,active,2026-03-16T17:41:32.307679Z
211,Student 0211,student0211@university.edu,BIO110,2025-10-31,1.86,active,2026-03-16T17:41:32.307679Z
212,Student 0212,student0212@university.edu,PHYS301,2025-07-25,2.38,active,2026-03-14T17:41:32.307679Z
213,Student 0213,student0213@university.edu,ENG202,2025-08-07,1.5,active,2026-03-16T17:41:32.307679Z
214,Student 0214,student0214@university.edu,BIO110,2025-08-25,2.66,active,2026-03-17T17:41:32.307679Z
215,Student 0215,student0215@university.edu,CS101,2025-07-12,3.43,dropout,2026-03-18T17:41:32.307679Z
216,Student 0216,student0216@university.edu,ENG202,2025-08-07,2.9,active,2026-03-18T17:41:32.307679Z
217,Student 0217,student0217@university.edu,CS101,2025-09-02,2.14,active,2026-03-16T17:41:32.307679Z
218,Student 0218,student0218@university.edu,ENG202,2025-08-03,2.8,active,2026-03-17T17:41:32.307679Z
219,Student 0219,student0219@university.edu,CS101,2025-05-20,3.02,inactive,2026-03-17T17:41:32.307679Z
220,Student 0220,student0220@university.edu,ENG202,2025-09-13,3.18,active,2026-03-19T17:41:32.307679Z
221,Student 0221,student0221@university.edu,PHYS301,2025-05-26,2.63,inactive,2026-03-16T17:41:32.307679Z
222,Student 0222,student0222@university.edu,BIO110,2025-10-10,3.24,active,2026-03-14T17:41:32.307679Z
223,Student 0223,student0223@university.edu,BIO110,2025-07-15,1.65,active,2026-03-18T17:41:32.307679Z
224,Student 0224,student0224@university.edu,ENG202,2025-09-30,4.0,inactive,2026-03-13T17:41:32.307679Z
225,Student 0225,student0225@university.edu,BIO110,2025-06-04,1.5,active,2026-03-17T17:41:32.307679Z
226,Student 0226,student0226@university.edu,MATH201,2025-07-18,4.0,active,2026-03-15T17:41:32.307679Z
227,Student 0227,student0227@university.edu,PHYS301,2025-10-14,3.76,inactive,2026-03-17T17:41:32.307679Z
228,Student 0228,student0228@university.edu,CS101,2025-07-30,2.91,active,2026-03-13T17:41:32.307679Z
229,Student 0229,student0229@university.edu,BIO110,2025-10-16,2.4,active,2026-03-12T17:41:32.307679Z
230,Student 0230,student0230@university.edu,CS101,2025-08-15,2.02,active,2026-03-14T17:41:32.307679Z
231,Student 0231,student0231@university.edu,ENG202,2025-09-17,4.0,active,2026-03-15T17:41:32.307679Z
232,Student 0232,student0232@university.edu,MATH201,2025-08-16,3.57,active,2026-03-12T17:41:32.307679Z
233,Student 0233,student0233@university.edu,PHYS301,2025-10-02,3.99,active,2026-03-13T17:41:32.307679Z
234,Student 0234,student0234@university.edu,CS101,2025-10-06,2.92,active,2026-03-15T17:41:32.307679Z
235,Student 0235,student0235@university.edu,ENG202,2025-08-18,3.63,active,2026-03-18T17:41:32.307679Z
236,Student 0236,student0236@university.edu,ENG202,2025-10-10,3.06,active,2026-03-19T17:41:32.307679Z
237,Student 0237,student0237@university.edu,BIO110,2025-08-08,2.62,active,2026-03-12T17:41:32.307679Z
238,Student 0238,student0238@university.edu,ENG202,2025-08-23,2.97,active,2026-03-12T17:41:32.307679Z
239,Student 0239,student0239@university.edu,CS101,2025-07-09,3.48,active,2026-03-19T17:41:32.307679Z
240,Student 0240,student0240@university.edu,CS101,2025-10-19,2.31,active,2026-03-14T17:41:32.307679Z
241,Student 0241,student0241@university.edu,CS101,2025-10-07,2.82,active,2026-03-17T17:41:32.307679Z
242,Student 0242,student0242@university.edu,BIO110,2025-06-09,4.0,active,2026-03-19T17:41:32.307679Z
243,Student 0243,student0243@university.edu,ENG202,2025-06-07,1.71,active,2026-03-15T17:41:32.307679Z
244,Student 0244,student0244@university.edu,BIO110,2025-07-16,3.6,inactive,2026-03-18T17:41:32.307679Z
245,Student 0245,student0245@university.edu,PHYS301,2025-07-15,1.96,active,2026-03-17T17:41:32.307679Z
246,Student 0246,student0246@university.edu,PHYS301,2025-08-05,3.77,dropout,2026-03-19T17:41:32.307679Z
247,Student 0247,student0247@university.edu,CS101,2025-10-16,3.17,active,2026-03-17T17:41:32.307679Z
248,Student 0248,student0248@university.edu,MATH201,2025-06-19,2.69,active,2026-03-17T17:41:32.307679Z
249,Student 0249,student0249@university.edu,CS101,2025-07-26,2.28,active,2026-03-12T17:41:32.307679Z
250,Student 0250,student0250@university.edu,PHYS301,2025-06-08,3.94,active,2026-03-13T17:41:32.307679Z
251,Student 0251,student0251@university.edu,ENG202,2025-07-02,3.27,active,2026-03-13T17:41:32.307679Z
252,Student 0252,student0252@university.edu,PHYS301,2025-06-19,4.0,active,2026-03-16T17:41:32.307679Z
253,Student 0253,student0253@university.edu,ENG202,2025-09-12,3.54,dropout,2026-03-12T17:41:32.307679Z
254,Student 0254,student0254@university.edu,ENG202,2025-05-24,1.55,active,2026-03-16T17:41:32.307679Z
255,Student 0255,student0255@university.edu,CS101,2025-09-23,2.8,inactive,2026-03-17T17:41:32.307679Z
256,Student 0256,student0256@university.edu,CS101,2025-09-23,4.0,inactive,2026-03-18T17:41:32.307679Z
257,Student 0257,student0257@university.edu,CS101,2025-10-03,2.88,active,2026-03-15T17:41:32.307679Z
258,Student 0258,student0258@university.edu,BIO110,2025-07-24,1.5,active,2026-03-14T17:41:32.307679Z
259,Student 0259,student0259@university.edu,PHYS301,2025-08-21,2.75,active,2026-03-13T17:41:32.307679Z
260,Student 0260,student0260@university.edu,CS101,2025-09-30,1.64,active,2026-03-12T17:41:32.307679Z
261,Student 0261,student0261@university.edu,CS101,2025-08-31,2.21,active,2026-03-18T17:41:32.307679Z
